Air Pressure (Hecta pascals),Air temp (deg celcius),Humidity (%),maximum Wind speed (km/h),water pressure (decibar),water temp (deg celcius)
1006.9,25,92.1,24.84,5.731,29.7077
1007.1,25.4,91.2,40.68,5.779,29.709
1007.4,25,92,36.36,5.838,29.7137
1007.3,25.1,90.3,29.52,5.89,29.7126
1007.2,25.4,87.1,28.44,5.944,29.718
1007.2,26.2,85.8,30.96,5.997,29.7195
1007.4,26.7,84.2,35.28,6.051,29.717
1007.2,27,82.8,34.2,6.091,29.7271
1007.2,27,84.2,36.36,6.155,29.7282
1007.1,26.6,85.8,37.8,6.213,29.7311
1007.1,26.6,86.5,36,6.265,29.7339
1007.3,26.5,86.5,35.64,6.325,29.7324
1007.3,26.5,85.1,35.64,6.376,29.7338
1007.5,26.7,82.8,37.08,6.439,29.7318
1007.6,26.7,85.1,32.4,6.486,29.7341
1007.7,26.7,83.4,29.16,6.539,29.7324
1007.7,26.9,84.1,28.08,6.598,29.7308
1007.8,26.9,85.4,28.08,6.656,29.7297
1007.9,26.8,84.7,28.8,6.712,29.7222
1008.1,26.7,84.6,27.72,6.758,29.7104
1008.3,26.7,83.7,27.36,6.823,29.7047
1008.5,26.8,84.3,28.08,6.867,29.6984
1008.6,26.9,85.2,28.44,6.914,29.6976
1008.7,26.8,84.4,27.36,6.959,29.6969
1008.9,26.7,84.6,28.8,6.996,29.6927
1009,26.7,86.2,27.72,7.033,29.695
1009,26.8,82.8,28.8,7.058,29.6978
1009.2,27,84.5,27.72,7.105,29.6969
1009.1,26.9,84.9,28.8,7.135,29.6917
1009.2,27,84,29.88,7.164,29.6871
1009.2,27.1,83.7,29.52,7.183,29.682
1009.2,27.1,82.8,30.6,7.199,29.7034
1009.2,27.1,84.3,29.16,7.216,29.7119
1009.3,27,85.4,29.88,7.235,29.7215
1009.4,27,82.9,30.6,7.255,29.735
1009.5,27.3,83.3,30.24,7.272,29.7303
1009.4,27.2,82.2,33.12,7.291,29.7447
1009.4,27.2,82.1,31.32,7.305,29.7164
1009.4,27.3,83.1,34.56,7.313,29.7136
1009.4,27.3,84.2,30.24,7.326,29.7278
1009.2,27.3,83.3,30.24,7.343,29.7389
1009.1,27.3,85.1,28.8,7.354,29.7617
1009,27.4,83.8,33.12,7.365,29.7734
1009,27.4,84.4,28.44,7.374,29.8
1009,27.3,84.1,28.8,7.391,29.8094
1008.9,27.3,84.8,32.04,7.396,29.811
1008.9,27.4,83,27,7.395,29.8094
1008.9,27.5,83.4,28.08,7.414,29.8109
1008.8,27.6,83.4,27,7.422,29.8095
1008.7,27.7,81,28.44,7.422,29.8159
1008.5,27.8,82.2,25.2,7.439,29.8183
1008.4,28,81,34.2,7.437,29.8235
1008.3,28.3,81.3,37.44,7.437,29.8171
1008.3,28.3,80.4,39.6,7.442,29.8233
1008.2,28.3,79,36.72,7.434,29.835
1008.1,28.3,79.1,36.36,7.44,29.8392
1008.1,28.3,79,38.52,7.431,29.8324
1007.9,28.2,78.8,41.4,7.415,29.8365
1007.9,28.2,77.4,37.44,7.413,29.8399
1007.8,28.3,77,36,7.42,29.8527
1007.6,28.3,78.6,36.72,7.4,29.8624
1007.5,28.1,81.1,36,7.389,29.8733
1007.3,28.2,79.1,37.08,7.386,29.8764
1007.2,27.8,81.6,43.56,7.339,29.8856
1007,27.6,78.3,39.24,7.34,29.8874
1007,28.3,78.3,38.16,7.31,29.8955
1007,28.3,77.9,36,7.282,29.9094
1006.9,28.2,79.4,34.92,7.253,29.9123
1006.9,28.3,78.3,39.96,7.211,29.914
1006.8,28.3,78.2,40.68,7.184,29.9083
1006.8,28.2,77,42.48,7.148,29.9131
1006.7,28.3,76.3,38.88,7.104,29.9412
1006.5,28.3,76.8,38.88,7.085,29.9679
1006.5,28.2,75.7,39.6,7.047,29.9618
1006.5,28,77,42.12,7.003,29.9374
1006.6,28.4,78.4,42.48,6.951,29.8913
1006.6,28.3,78.7,42.84,6.888,29.8756
1006.6,28.2,78.4,40.68,6.845,29.8574
1006.6,28.3,76.5,38.52,6.788,29.8416
1006.8,28.6,78.6,42.48,6.75,29.8315
1006.7,28.5,77.7,40.32,6.703,29.8322
1007.1,27.9,78.2,46.44,6.642,29.835
1007.2,26.5,84.2,60.48,6.605,29.8372
1007.4,25.5,86.2,55.08,6.538,29.8372
1007.5,25.2,88.5,40.68,6.474,29.8297
1007.2,25.5,86.6,27,6.426,29.8234
1007.2,26.4,80.7,36.72,6.351,29.807
1007.3,26.9,79.8,38.16,6.331,29.7975
1007.5,27.1,81.9,35.28,6.282,29.7902
1007.7,26,86.5,40.68,6.247,29.7791
1007.8,26.1,83,23.76,6.216,29.7635
1008,26.7,86.2,29.52,6.155,29.7592
1007.9,26,88.1,31.68,6.14,29.7462
1008,25.8,87.8,24.12,6.083,29.7435
1008.1,25.8,87.2,31.32,6.059,29.7369
1008.4,25.3,89.5,26.28,6.013,29.7354
1008.4,25.5,90.7,13.68,6.013,29.7345
1008.6,26.1,89.8,31.68,5.968,29.7357
1008.6,26.5,85.2,29.16,5.917,29.7369
1008.6,26.9,82.6,27.36,5.894,29.7378
1008.5,27.2,79.3,24.48,5.855,29.7377
1008.5,27.4,81.6,25.56,5.854,29.7374
1008.7,27.5,80.5,27.36,5.826,29.7411
1008.8,27.3,81,25.2,5.818,29.7432
1008.9,27.4,79.4,22.68,5.806,29.7414
1008.8,27.5,80.8,21.6,5.82,29.739
1008.9,27.6,79.9,24.12,5.787,29.7371
1008.9,27.6,79.7,25.2,5.772,29.7334
1008.9,26.8,84.6,32.76,5.767,29.7272
1008.9,26.1,84.2,35.28,5.762,29.7275
1009,26.1,82,33.12,5.734,29.7276
1009.1,26,83.5,25.2,5.748,29.7326
1008.9,26,82.9,20.88,5.715,29.7378
1008.9,26.1,85.4,18.72,5.689,29.7408
1008.8,26,84.5,19.44,5.704,29.7446
1008.7,26.2,82.3,19.44,5.703,29.7466
1008.6,26.4,82.6,16.56,5.668,29.7491
1008.5,26.6,83.1,17.64,5.652,29.7516
1008.3,26.5,83.2,15.12,5.621,29.7527
1008.3,26.6,83.9,12.24,5.589,29.7536
1008.1,26.6,82,13.68,5.568,29.7576
1008.2,26.6,81.3,15.48,5.525,29.7573
1008.1,26.5,83.3,15.84,5.51,29.7592
1007.9,26.5,84.9,16.56,5.51,29.7603
1007.8,26.6,86,15.48,5.47,29.7624
1007.6,26.4,84.9,20.16,5.432,29.7639
1007.4,26.5,84.7,17.28,5.441,29.7681
1007.3,26.6,84.2,15.48,5.401,29.7716
1007.2,26.7,82.5,14.76,5.381,29.772
1007,26.9,80.9,12.6,5.387,29.7727
1006.9,27,79.4,12.96,5.359,29.7719
1006.9,27.1,79.6,13.32,5.342,29.77
1006.8,27.1,79.3,12.96,5.341,29.7649
1006.7,27.1,79.3,8.28,5.334,29.7581
1006.5,27,81.1,9,5.284,29.7501
1006.3,27,81.4,8.64,5.304,29.7414
1006.1,26.8,78.8,10.44,5.308,29.7342
1006,27.1,80.7,6.12,5.302,29.7284
1005.9,27.1,81,9,5.297,29.7218
1005.8,27.1,80.4,8.28,5.295,29.7179
1005.9,27.2,80.8,7.2,5.285,29.7129
1005.9,27.2,78.7,10.44,5.311,29.7082
1005.9,27.3,78.8,8.64,5.292,29.7051
1005.9,27.2,78.8,7.92,5.317,29.7002
1006,27.1,80.4,6.84,5.326,29.6951
1005.9,26.9,81.4,9.36,5.341,29.691
1005.8,26.7,82.4,9.36,5.354,29.6852
1005.8,26.5,81,9.72,5.373,29.6832
1005.7,26.6,82.2,10.08,5.416,29.6729
1005.7,26.7,81.7,11.52,5.444,29.6602
1005.6,26.7,79.3,9.72,5.488,29.6629
1005.5,27,80.3,10.08,5.508,29.6575
1005.5,26.8,81,11.16,5.559,29.6452
1005.5,26.9,81.7,10.8,5.606,29.6425
1005.7,26.7,80.2,10.8,5.643,29.6394
1005.8,26.7,79.5,10.08,5.68,29.6427
1005.6,26.8,79.8,9.72,5.734,29.6418
1005.7,26.8,79.4,7.2,5.775,29.6448
1005.8,27,77.8,11.16,5.83,29.6386
1005.9,27.1,77.8,12.6,5.864,29.632
1005.9,27.2,79.5,14.04,5.908,29.5937
1006,27.4,80.1,16.56,5.955,29.5654
1006.1,27.4,81.3,14.4,5.996,29.5406
1006.2,27.4,79.9,19.8,6.034,29.53
1006.3,27.4,79.5,16.56,6.088,29.5041
1006.5,27.4,79.2,18.36,6.129,29.4958
1006.7,27.5,79.6,20.52,6.159,29.4749
1006.8,27.6,80.7,19.44,6.207,29.4565
1006.8,27.6,81.7,19.08,6.243,29.4287
1006.9,27.5,80.5,21.96,6.281,29.3718
1007,27.4,79.5,23.04,6.313,29.3565
1007.2,27.4,82,21.6,6.37,28.9182
1007.2,27.4,74.1,22.68,6.384,28.5181
1007.3,27.8,76.3,21.96,6.399,28.5252
1007.3,27.7,77.2,18.72,6.399,28.8332
1007.4,27.8,77.1,19.08,6.445,29.0261
1007.4,27.9,77.9,17.64,6.467,29.0811
1007.5,27.8,75.3,18,6.502,29.1219
1007.5,27.8,76.3,17.28,6.517,29.1187
1007.6,27.8,77.9,15.48,6.54,29.0293
1007.7,27.8,76,14.04,6.582,29.1025
1007.8,27.8,76.2,18,6.566,29.1116
1007.9,27.9,76.7,17.28,6.593,29.1096
1008,27.9,78.4,18,6.641,29.1298
1008.1,27.8,80.1,18.36,6.649,29.1515
1008,27.7,79.5,15.84,6.666,29.1551
1008,27.7,82,16.56,6.711,29.2101
1007.9,27.6,79.1,15.48,6.715,29.2368
1007.8,27.7,79.4,17.64,6.749,29.3128
1007.8,27.8,79.7,18,6.778,29.3229
1007.8,27.6,80.7,18.72,6.808,29.3338
1007.6,27.5,81.9,18,6.816,29.3622
1007.5,27.5,83,16.56,6.809,29.3893
1007.4,27.4,82.4,14.04,6.851,29.4287
1007.3,27.4,82.9,13.32,6.863,29.4537
1007.3,27.5,82.1,14.04,6.896,29.5164
1007.4,27.5,81.6,15.84,6.889,29.541
1007.3,27.6,80.7,16.2,6.934,29.5599
1007.2,27.6,82.7,15.84,6.955,29.571
1007.1,27.5,83,16.56,6.974,29.5733
1007,27.5,82.7,18,6.96,29.575
1006.8,27.1,84.8,32.76,6.978,29.5721
1006.7,27,82.9,28.44,7.013,29.5727
1006.4,26.9,83.5,26.64,6.986,29.5695
1006.2,27,82.5,24.48,6.981,29.5689
1006,27,82.4,20.88,6.97,29.5677
1005.9,27.1,83.1,20.88,6.967,29.5682
1005.7,27.1,82.6,23.04,6.955,29.5717
1005.5,27,79.8,23.76,6.954,29.5746
1005.4,27.1,81.3,22.32,6.945,29.5762
1005.4,27.1,81.4,23.4,6.931,29.5759
1005.4,27.2,81.6,26.64,6.891,29.5775
1005.4,27.1,82,26.28,6.881,29.5767
1005.4,27.3,83.1,26.28,6.863,29.574
1005.3,27.2,83.7,24.84,6.832,29.5736
1005.3,27.1,83.8,24.12,6.797,29.5648
1005.1,27,83.8,23.04,6.795,29.5584
1005.1,26.8,84.1,24.12,6.745,29.5557
1005.1,26.8,83.5,23.76,6.722,29.5535
1005,26.9,83.4,24.12,6.659,29.551
1005.1,27,82.2,24.48,6.621,29.5507
1005,27.1,82.1,24.12,6.584,29.5481
1004.9,27.1,81.8,29.52,6.539,29.5493
1004.9,27.1,82.3,29.16,6.491,29.5515
1004.9,27,82.7,29.52,6.456,29.5477
1004.9,27.1,82.4,28.08,6.399,29.5448
1004.9,27,82.4,28.44,6.361,29.5399
1004.9,27,82.8,28.8,6.324,29.5313
1004.8,26.9,83.9,27.72,6.281,29.5226
1004.9,26.9,82.9,28.8,6.235,29.5162
1005,26.8,82.6,28.08,6.195,29.5147
1005.1,26.7,82.5,28.8,6.143,29.5136
1005.2,26.7,84.8,27.72,6.095,29.5051
1005.2,26.6,83.3,27.36,6.051,29.4886
1005.2,26.6,83.2,24.84,5.996,29.4898
1005.3,26.7,84.2,20.88,5.957,29.4803
1005.4,26.9,82.7,25.2,5.912,29.4701
1005.5,27,82.4,26.64,5.851,29.459
1005.4,26.9,83.5,26.28,5.839,29.4177
1005.5,27.1,84.2,26.28,5.79,29.4232
1005.6,27,81.9,28.08,5.74,29.439
1005.9,27.1,82.2,26.64,5.712,29.437
1006,27.1,84.3,25.92,5.671,29.4238
1006.2,26.9,84.2,28.8,5.642,29.4244
1006.2,26.9,84.1,23.4,5.623,29.3373
1006.2,26.7,83.2,20.52,5.584,29.306
1006.3,27.3,81.6,21.24,5.563,29.2787
1006.4,27.5,79,27,5.536,29.2402
1006.6,27.8,79.7,29.88,5.543,29.2357
1006.7,27.9,81.1,31.68,5.52,29.2408
1006.7,27.9,80.9,27.72,5.498,29.2455
1006.6,28,78.5,24.84,5.496,29.23
1006.6,28,77.4,22.32,5.506,29.2039
1006.5,27.9,80.5,21.6,5.495,29.248
1006.5,28.2,77.8,28.08,5.527,29.2948
1006.6,28.4,76.1,28.44,5.517,29.3628
1006.6,28.5,75.5,27.36,5.518,29.4121
1006.6,28.5,76.8,27.72,5.535,29.4622
1006.3,28.5,74.6,25.2,5.543,29.4855
1006.2,28.5,74.2,27,5.551,29.4937
1006.1,28.6,75.4,25.2,5.556,29.5041
1006.1,28.5,76.8,37.08,5.578,29.5136
1005.9,26.8,82.6,38.52,5.554,29.5183
1005.9,26.7,84.4,31.68,5.53,29.5161
1005.6,26.7,84.9,33.84,5.502,29.5076
1005.4,27.1,83.6,30.96,5.494,29.496
1005.5,27.1,82.7,26.64,5.494,29.4865
1005.3,26.8,86,42.48,5.476,29.4812
1005.2,26.3,85.7,45.36,5.494,29.4759
1004.9,26.5,83.9,35.64,5.506,29.4689
1004.7,26.7,83.2,24.84,5.508,29.4611
1004.6,27,81.9,21.96,5.517,29.4572
1004.5,27.5,75.6,21.96,5.503,29.4577
1004.5,27.6,77.3,20.52,5.476,29.4598
1004.3,27.7,75.1,19.08,5.458,29.456
1004.1,27.8,77.3,16.56,5.44,29.4529
1004,27.5,76.8,18,5.464,29.4492
1003.8,27.6,78.4,16.92,5.437,29.4461
1003.6,27.6,79.3,16.56,5.442,29.443
1003.5,27.6,78.3,15.12,5.428,29.4391
1003.1,27.5,75.2,15.84,5.446,29.4366
1003.1,27.7,76.7,15.12,5.431,29.4332
1003,27.6,77.5,16.2,5.442,29.4352
1003,27.6,77.8,18.36,5.442,29.4362
1003,27.6,81.4,22.32,5.433,29.4395
1002.9,27.3,78.8,21.24,5.442,29.4421
1002.9,27.5,80,21.24,5.491,29.4441
1003,27.1,80.6,35.64,5.487,29.4507
1003,26.8,81.4,32.76,5.562,29.4591
1003,26.8,78.9,29.52,5.559,29.4651
1002.9,26.4,80.6,32.76,5.577,29.4685
1002.9,26.5,79.7,30.24,5.619,29.4716
1002.7,26.7,80.1,28.08,5.673,29.478
1002.8,26.5,78.2,25.56,5.716,29.4815
1002.6,26.8,76,23.04,5.765,29.4871
1002.7,26.9,77.7,25.2,5.78,29.4899
1002.7,26.7,77.9,27.36,5.823,29.4993
1002.9,26.7,80.3,27.36,5.884,29.5033
1002.9,26.6,76.6,23.04,5.944,29.5066
1002.9,26.9,75.9,23.4,5.957,29.5107
1002.9,26.8,77.7,17.64,6.023,29.5128
1002.8,27,81.6,17.64,6.09,29.515
1003,27.1,81.1,18.72,6.126,29.5151
1003.2,27.1,80.1,20.16,6.199,29.5149
1003.4,27.1,81,21.96,6.23,29.5158
1003.6,27.2,81,23.76,6.261,29.5171
1003.7,27.2,84,20.88,6.312,29.5177
1003.9,27.3,82.8,24.48,6.379,29.5205
1004,27.3,83.8,22.32,6.411,29.5212
1004.2,27.2,83.1,23.04,6.456,29.5224
1004.2,27.1,83.7,22.68,6.515,29.523
1004.5,27.3,84.1,21.6,6.564,29.5217
1004.7,27.3,82.9,22.68,6.615,29.5178
1004.8,27.5,82.2,23.4,6.639,29.5181
1005,27.2,84.6,19.08,6.703,29.5127
1005.2,27.4,83.4,25.2,6.759,29.507
1005.2,28,76.6,32.4,6.778,29.5073
1005.3,28.2,75.1,32.4,6.82,29.5086
1005.5,28.3,76.5,28.08,6.846,29.5057
1005.6,28.3,74.8,30.24,6.878,29.4775
1005.5,28.3,73.5,29.88,6.932,29.46
1005.6,28.4,75.6,27.36,6.933,29.4549
1005.7,28.2,74.4,27,6.939,29.4528
1005.8,28.3,73.6,24.48,7.026,29.4511
1005.8,28.4,74.4,24.12,7.016,29.4412
1005.8,28.4,74.9,26.64,7.023,29.4319
1005.7,28.4,74.1,28.8,7.056,29.4192
1005.6,28.4,74.2,29.88,7.052,29.4008
1005.5,28.4,75.4,26.64,7.088,29.3898
1005.5,28.4,75.8,27,7.108,29.3813
1005.4,28.4,74.4,32.04,7.108,29.3681
1005.3,28.5,76.4,27.72,7.091,29.3808
1005.4,28.3,75.7,26.28,7.099,29.4121
1005.5,28.5,75.8,27,7.165,29.4254
1005.5,28.5,76.1,27.36,7.171,29.4562
1005.4,28.5,75.2,25.56,7.18,29.4701
1005.4,28.5,76.5,25.56,7.151,29.4749
1005.2,28.6,76,24.84,7.191,29.4785
1005,28.5,75.8,25.56,7.191,29.4806
1004.8,28.4,75.4,26.28,7.197,29.4803
1004.7,28.4,78.4,26.28,7.246,29.4812
1004.5,28.4,77,26.28,7.203,29.4812
1004.4,28.4,76.7,26.64,7.183,29.48
1004.3,28.4,77.7,25.2,7.24,29.4766
1004.2,28.5,76.1,28.8,7.239,29.4744
1004.2,28.5,75.6,27.36,7.245,29.4713
1004.1,28.4,76.1,27.36,7.233,29.4723
1004.1,28,78.7,34.2,7.222,29.4726
1004,27.9,81,33.48,7.216,29.4686
1003.9,27.9,82.1,37.44,7.233,29.4689
1003.7,27.3,78.3,41.76,7.229,29.4719
1003.5,27.1,80.9,31.68,7.222,29.4762
1003.3,27.1,77.5,30.6,7.21,29.4822
1003.2,27,78.6,30.24,7.197,29.4863
1003.1,27.3,77.7,25.2,7.189,29.4916
1003.1,27.6,77.7,24.84,7.186,29.4972
1003,27.8,75.7,23.04,7.152,29.4988
1003,28.1,77.7,22.68,7.137,29.4996
1002.9,28,78.3,22.32,7.109,29.5044
1002.9,28.3,77,27.36,7.099,29.5054
1002.8,28.2,70.9,32.76,7.055,29.5031
1002.6,28,78.4,30.96,7.02,29.5018
1002.5,28.4,78.6,24.48,6.971,29.5003
1002.5,28.4,77.5,26.64,6.944,29.4995
1002.4,28.4,77.2,30.6,6.919,29.4981
1002.6,27.9,79.6,30.6,6.861,29.4969
1002.7,27.5,78,29.16,6.831,29.4948
1002.6,26.6,79.9,44.28,6.778,29.4944
1002.5,26,83.9,44.64,6.733,29.4972
1002.6,26.1,88.6,39.6,6.686,29.5048
1002.9,25.9,89.2,36.72,6.645,29.5092
1003.1,26.2,89.4,31.68,6.615,29.5055
1003.2,26.3,87.3,30.6,6.543,29.5034
1003.2,26.3,87.7,32.76,6.5,29.5048
1003.3,26.5,87.7,35.64,6.448,29.5119
1003.4,26.5,90.3,37.8,6.397,29.5169
1003.6,25.9,90.3,36.36,6.345,29.5288
1003.6,25.8,88.1,31.68,6.302,29.5409
1003.7,26.2,85.2,30.6,6.254,29.552
1003.8,26.3,86.5,33.84,6.222,29.5606
1004,26.4,85,36.72,6.173,29.5636
1004.2,26.4,84.6,37.8,6.13,29.5658
1004.5,26.3,83.1,36.36,6.09,29.57
1004.6,26.2,84,36.36,6.046,29.571
1004.7,26.2,84.2,36.72,6.008,29.5697
1004.7,26.1,84,36.36,5.962,29.5682
1004.7,26.2,85.9,37.44,5.932,29.5672
1004.7,26.2,85.3,36.72,5.881,29.5691
1004.8,26.2,85,35.28,5.849,29.5659
1005,26,83.6,32.76,5.821,29.5636
1005.3,26.1,84.1,29.16,5.773,29.5631
1005.4,26.1,83.1,28.8,5.771,29.5628
1005.5,26.2,84.1,25.2,5.737,29.5597
1005.5,26.2,82,20.88,5.716,29.5569
1005.4,26.3,81.1,19.8,5.705,29.5551
1005.2,26.6,81.6,18.36,5.676,29.5584
1005.2,26.6,82.5,17.64,5.671,29.5574
1005,26.7,80.2,17.28,5.646,29.5597
1004.9,26.7,78.7,15.84,5.639,29.5606
1004.8,27,79.5,12.6,5.646,29.56
1004.7,27.2,78.7,11.52,5.646,29.5594
1004.6,27.1,78.5,12.6,5.644,29.5581
1004.4,27.2,79.3,14.04,5.643,29.5571
1004.4,27.1,78.2,12.6,5.645,29.5553
1004.5,27.2,77.8,11.52,5.632,29.5524
1004.5,27.2,78.1,12.6,5.632,29.5481
1004.5,27.3,77.8,12.96,5.627,29.5443
1004.6,27.3,77.9,12.96,5.618,29.5398
1004.5,27.3,77,11.88,5.622,29.5399
1004.5,27.4,77.4,10.44,5.604,29.5394
1004.4,27.4,76.9,11.88,5.59,29.5377
1004.3,27.5,77.5,13.32,5.582,29.5346
1004.3,27.5,77.1,16.2,5.565,29.5302
1004.3,27.6,76.9,14.4,5.541,29.5202
1004.1,27.7,76.7,14.76,5.529,29.5156
1004,27.6,77.1,17.28,5.517,29.5104
1003.9,27.4,77.5,17.28,5.506,29.5098
1003.7,27.5,75.9,17.28,5.495,29.5113
1003.4,27.6,77.8,17.28,5.473,29.5092
1003.2,27.5,77.3,19.08,5.464,29.5088
1003.1,27.4,79.1,21.24,5.451,29.502
1003,27.4,78.7,21.24,5.438,29.4962
1002.9,27.5,78.5,17.64,5.431,29.4895
1002.9,27.5,79.7,18,5.412,29.4846
1002.7,27.4,81.4,20.16,5.398,29.4817
1002.6,27.3,79.7,19.44,5.396,29.4825
1002.5,27.4,79.9,15.84,5.39,29.4812
1002.4,27.5,81.9,20.88,5.381,29.4781
1002.5,27.3,82.5,18.72,5.376,29.4763
1002.4,27.5,79.6,19.08,5.378,29.4731
1002.4,27.5,80.5,17.28,5.375,29.4716
1002.2,27.7,78.3,20.16,5.371,29.4688
1002.3,27.7,76.5,19.44,5.376,29.4673
1002.3,27.9,76.5,20.16,5.379,29.4648
1002.2,27.7,79.5,21.24,5.382,29.4617
1002.2,27.5,80.3,20.52,5.393,29.4614
1002.1,27.4,79.8,19.44,5.408,29.4589
1002.1,27.7,77.6,17.28,5.408,29.4557
1002,27.8,77.4,17.28,5.423,29.4522
1002,27.8,77.4,18.36,5.441,29.4506
1002,27.8,77.5,18.36,5.462,29.4476
1002.2,27.9,77.9,18,5.488,29.4463
1002.2,27.8,78.9,18,5.509,29.4464
1002.4,27.9,77.7,16.56,5.533,29.4439
1002.4,27.9,78.6,17.64,5.562,29.4433
1002.5,27.8,78.4,18.72,5.596,29.4365
1002.6,27.8,79,17.64,5.621,29.4352
1002.7,27.9,79.8,16.2,5.661,29.4344
1002.8,27.9,78.8,18,5.708,29.4319
1003,27.9,78.6,17.28,5.744,29.431
1003.2,27.9,80.1,16.92,5.789,29.4306
1003.4,27.9,79.7,18.36,5.829,29.4282
1003.5,27.9,78.3,16.56,5.865,29.4282
1003.7,28,77.9,16.2,5.906,29.4281
1003.9,28,78.7,16.56,5.951,29.4257
