"Air.Pressure..Hecta.pascals." "Air.temp..deg.celcius." "Humidity...." "maximum.Wind.speed..km.h." "water.pressure..decibar." "water.temp..deg.celcius."
"33" 1006.6 27.8 81.4 14.04 5.17 29.0197
"34" 1007.2 28.8 81.3 39.96 5.715 29.3359
"35" 1011 26.4 75.4 24.12 5.083 29.5566
"36" 1004.4 28.3 74.1 27 6.647 28.9477
"37" 1011.5 26.9 81.2 37.8 7.11 29.1745
"38" 1004.5 27.9 80.7 32.76 6.364 29.3035
"39" 1006.5 24.7 82.9 48.24 6.523 28.6748
"40" 1009.4 25.8 80.9 37.44 5.05 28.9264
"41" 1011.5 26.8 81.4 36.36 6.249 28.822
"42" 1010.7 27.6 79.3 41.4 5.646 29.0145
"43" 1008 25 78.8 23.04 5.353 28.722
"44" 1009.9 25.1 71.1 34.92 7.065 27.9958
"45" 1009.5 28 78.3 38.88 6.571 29.4338
"46" 1004.1 28.6 78.3 38.16 6.15 29.1466
"47" 1011.2 26.8 82.2 48.96 6.443 28.6253
"48" 1009.6 26.8 80.7 39.96 6.407 28.9003
"49" 1010.6 26.4 81.6 44.28 6.329 29.042
"50" 1013.1 25.9 74.1 43.92 6.741 28.5085
"51" 1011.1 25.6 72.7 48.24 6.454 27.627
"52" 1003.9 26.6 87.2 38.88 6.083 29.2486
"53" 1007.7 27.8 81.9 6.84 6.191 29.22
"54" 1012.6 24.9 80.6 41.4 5.284 28.0019
"55" 1012.9 25.4 75.5 36.72 6.336 27.6192
"56" 1012.6 26.6 78.9 37.08 5.411 29.4423
"57" 1006.3 28.4 81.6 9 6.292 28.8213
"58" 1007.9 28.4 75.3 38.88 5.645 29.4811
"59" 1005 27.7 82.7 20.16 6.334 28.8655
"60" 1009.7 25.9 85.3 41.76 6.297 29.1024
"61" 1011.5 26.9 70.5 37.44 5.918 29.3894
"62" 1011.7 26.9 79.2 29.88 5.549 29.242
"63" 1008.1 27.3 72.5 45.72 5.57 28.9822
"64" 1012 26.9 81.3 28.08 5.75 28.9743
"65" 1007.5 25.2 87.1 16.92 5.355 28.744
"66" 1012.2 24.4 76.8 30.24 6.077 27.7816
"67" 1012.1 25.8 67.1 45.36 4.846 28.7579
"68" 1009.5 27.3 73.7 32.76 6.448 29.0759
"69" 1011.4 26.9 79.8 32.4 7.118 29.0103
"70" 1009.7 27.2 80.7 32.4 6.724 29.1432
"71" 1014.7 26.2 81.8 25.92 7.083 29.174
"72" 1008.9 28.1 74.7 40.68 5.453 29.3923
"73" 1006.6 28.2 78.4 40.68 6.845 29.8574
"74" 1012.1 24.4 75.4 32.4 5.715 28.2266
"75" 1008.5 27.4 83.7 21.6 5.828 29.2374
"76" 1013 25.3 75.1 46.08 6.04 27.7376
"77" 1014.4 24.8 65.3 39.6 6.544 28.2013
"78" 1013 24 70 33.12 4.725 28.515
"79" 1011.5 24.9 78.4 28.08 6.394 28.1981
"80" 1013.3 25.5 72.6 45.72 5.629 27.7807
"81" 1013.1 24.9 82.5 37.44 6.27 27.5482
"82" 1013.1 24.7 80.5 41.76 6.797 27.728
"83" 1012.6 25 76.2 41.76 5.288 28.0051
"84" 1011.5 28.8 77.9 25.92 5.329 28.8132
"85" 1012.8 25.4 73.8 32.04 5.264 28.0853
"86" 1009.6 25.5 81.6 44.64 6.481 27.4797
"87" 1009.8 28 72.8 38.16 6.26 29.0441
"88" 1013.9 25.2 77.2 41.04 5.791 27.8234
"89" 1011.2 25 80.7 46.44 6.529 27.6722
"90" 1013.4 27.5 76.6 32.4 4.993 29.4538
"91" 1010.6 27.9 83.4 19.8 7.709 28.8447
"92" 1011.9 25.1 78.7 35.28 6.129 27.9029
"93" 1011.1 27.4 81.6 38.88 7.362 29.1505
"94" 1013 26.8 81.1 28.44 5.27 29.2842
"95" 1014 27.4 73.2 41.4 5.078 29.0632
"96" 1008.6 27.1 84.6 18 6.755 28.9884
"97" 1012.6 24.6 77.4 33.12 5.507 28.2305
"98" 1009.3 26.1 81.5 46.8 5.912 29.1028
"99" 1009.2 27.8 69.7 47.52 6.16 29.6057
"100" 1009.3 28.5 79.9 32.76 6.688 29.3614
"101" 1009.1 28.9 73.1 22.68 6.213 28.8417
"102" 1009.4 27.8 76 38.88 6.311 29.2547
"103" 1010.2 26.2 84.3 41.04 5.906 28.7905
"104" 1007.4 28.9 69.7 16.92 7.23 28.4888
"105" 1011.2 27.6 69.8 34.92 5.199 29.5481
"106" 1010.1 26.9 82.6 42.84 5.381 29.1244
"107" 1010.3 24.5 78.8 29.52 5.463 28.2975
"108" 1011.1 27.1 66.3 42.12 6.025 29.4423
"109" 1011.4 25.4 80.6 52.92 6.305 27.8867
"110" 1010.1 26 78.1 39.6 6.054 27.2955
"111" 1007.6 27.6 76.5 37.44 6.646 28.9662
"112" 1014 25.2 77.9 36.36 5.138 28.2469
"113" 1012.6 25.3 87.4 38.88 6.934 27.7332
"114" 1008.7 27.6 82.8 6.84 6.396 29.1133
"115" 1009.1 25.4 73.7 38.88 6.769 28.2513
"116" 1011 25.8 78.1 41.04 6.474 28.7415
"117" 1006.2 26.2 82.2 47.52 5.527 29.2151
"118" 1015.4 25.6 75.3 41.4 5.05 27.9279
"119" 1008.3 27.8 76.1 38.16 6.472 29.0619
"120" 1010.8 25.3 81.9 46.44 6.2 27.3197
"121" 1004.1 28.3 78 34.92 5.652 29.5781
"122" 1014.7 25.1 66.2 42.48 5.282 28.472
"123" 1000.6 28.7 73 62.64 6.666 29.3066
"124" 1010.9 26.1 84.1 37.44 5.727 29.2565
"125" 1011 26.9 81.5 36.36 6.97 28.931
"126" 1009.9 26.2 83 43.92 6.19 28.9922
"127" 1007.4 28 73.6 42.48 6.387 28.842
"128" 1011.3 26.9 80.3 32.04 6.97 29.0418
"129" 1013.2 24.8 75 38.88 6.604 27.4678
"130" 1005.1 28.4 77.2 33.12 6.519 29.1884
"131" 1007.3 28.7 71.9 41.4 5.738 29.2364
"132" 1004.6 28.5 75.7 21.24 6.53 28.8427
"133" 1013.2 25.3 78.4 40.68 5.543 28.1345
"134" 1006.6 28.1 80.9 14.04 6.302 28.884
"135" 1010.5 25.5 73.8 37.08 7.314 28.4355
"136" 1012.1 24.9 76.3 39.96 6.489 27.4181
"137" 1008.7 25.4 84.3 22.32 4.616 28.6596
"138" 1014.2 24.9 75 38.52 6.664 27.7437
"139" 1014.3 25 77.8 39.24 5.697 27.9312
"140" 1009.7 27.6 81.1 15.84 5.678 29.1581
"141" 1012.9 25.6 72.5 32.76 6.576 27.907
"142" 1008.8 27.7 74.3 36 6.557 29.2244
"143" 1010.8 27 76.1 41.04 7.006 29.1756
"144" 1013.6 25.1 78.1 35.28 7.235 28.2848
"145" 1012.5 25.1 66.9 39.24 6.06 28.3165
"146" 1006.3 27.3 81.6 21.24 5.563 29.2787
"147" 1014.3 25 73.7 46.8 5.748 28.0262
"148" 1009.3 26.4 79.3 39.96 6.752 29.0432
"149" 1008.9 25.7 88 34.56 5.83 29.1254
"150" 1011.6 24.5 77.8 24.48 4.627 28.6172
"151" 1006.2 28.6 77.2 14.4 5.832 28.7346
"152" 1009.8 27.9 78.6 33.12 4.659 29.0279
"153" 1013.8 25.1 82.5 32.4 6 27.473
"154" 1011.2 26.5 74.5 33.12 6.64 28.1871
"155" 1011.8 24.1 81 31.32 5.418 28.1668
"156" 1011.6 27.7 66.4 28.08 6.366 29.028
"157" 1012.8 26.9 74.3 29.88 6.573 29.2543
"158" 1011.1 25.1 79.7 38.88 6.394 27.3942
"159" 1012.7 25.3 75.4 36.36 7.087 27.8672
"160" 1009.3 25.3 90.2 29.52 6.727 29.0356
"161" 1010.4 25.6 74.9 38.88 7.37 28.4277
"162" 1006.2 28.6 77.3 13.32 5.862 28.7247
"163" 1006.5 28.2 73.3 38.88 5.972 29.1008
"164" 1009.1 26.3 79.7 36 5.89 29.0115
"165" 1009.1 28.6 75.5 23.4 6.578 28.562
"166" 1013 25.1 76.6 39.6 6.513 27.4304
"167" 1015.6 24 85.3 41.4 6.233 27.6617
"168" 1014.2 25.1 69.7 38.16 4.939 28.4715
"169" 1012.8 25.4 75.6 33.84 6.312 27.6338
"170" 1012.4 27.5 81.5 36 5.412 29.0167
"171" 1010.2 24.5 84.9 24.12 5.459 28.8162
"172" 1009.5 26.8 80.9 42.12 6.346 28.8541
"173" 1012.5 27.2 70.5 36.72 5.884 29.3716
"174" 1012.1 25.3 74.1 43.56 6.314 27.8379
"175" 1011.2 27 79.3 44.28 6.961 29.234
"176" 1013.3 25.2 76.4 40.68 5.628 28.2198
"177" 1008.5 25.8 83.8 43.56 7.063 29.1477
"178" 1008.7 28.1 77 45.36 5.619 29.4985
"179" 1009.4 27.9 75.8 39.96 6.762 28.7844
"180" 1006.3 27.5 80.5 3.96 5.338 29.0209
"181" 1006.5 28.8 77.8 23.76 7.374 28.7797
"182" 1007.9 27 82.2 21.24 5.731 29.0485
"183" 1003.5 28.6 78.3 38.88 6.175 29.1482
"184" 1011.1 25.2 81.1 42.48 5.334 27.9318
"185" 1012.3 27 80.1 36.36 7.263 29.1342
"186" 1008.2 27 80.7 48.24 6.261 28.8499
"187" 1014.6 24.3 87.1 38.16 7.043 27.7806
"188" 1004.3 28.1 79.9 39.96 6.273 29.4352
"189" 1012 25.5 73.9 35.28 5.331 28.6038
"190" 1013.9 25.4 77.8 31.68 6.302 27.9387
"191" 1008.8 28.7 74.9 30.96 5.167 29.331
"192" 1006.9 29 81 38.88 5.578 29.3076
"193" 1006 27.6 79.9 19.08 6.197 29.1275
"194" 1013.2 24.1 83.3 21.6 6.683 27.9624
"195" 1006.6 26.9 78.3 46.8 6.708 28.9738
"196" 1013.3 27 72.8 38.16 6.476 29.0792
"197" 1010.5 26.4 79.6 39.96 5.604 29.1612
"198" 1007.6 28.1 80.1 11.52 7.428 28.6738
"199" 1008.8 28.2 78.5 31.68 6.75 29.247
"200" 1007.4 27.5 71.8 39.24 5.956 28.9871
"201" 1013.6 24.7 79.9 45.36 5.685 28.3085
"202" 1010.1 26 83.2 38.88 6.164 28.9471
"203" 1008.6 26.2 82.8 42.84 5.938 29.0537
"204" 1009.1 27.1 75.3 32.4 5.987 29.1453
"205" 1011 26.8 72.8 34.2 6.53 29.2108
"206" 1007.7 27.5 74.9 7.2 5.773 28.6251
"207" 1013.2 24.7 81.4 36.72 6.111 28.1578
"208" 1006.9 27.7 71.5 40.68 6.287 29.0311
"209" 1010.6 27.5 68.5 41.4 6.749 29.0647
"210" 1004.3 28.9 75.7 18.72 6.692 28.9861
"211" 1012.5 26.9 80.5 38.88 7.204 29.0846
"212" 1008.2 29.3 77.1 23.04 6.212 28.8074
"213" 1012.7 25.5 72.3 42.48 6.2 27.7953
"214" 1009.7 26.7 80.6 33.84 6.209 29.0666
"215" 1013.3 27.2 77.1 39.24 5.106 29.4544
"216" 1009.9 26.2 79.9 38.52 5.704 28.4449
"217" 1012.1 23.5 85.2 45.36 5.446 28.2176
"218" 1009 26.3 78.9 38.52 5.411 29.1063
"219" 1003.5 27.8 81 30.96 6.23 29.2134
"220" 1010.7 25.1 75.6 45.72 5.357 28.6029
"221" 1014.1 25.7 75.4 41.4 5.511 27.8949
"222" 1011.9 25.4 72 36.72 6.599 28.1822
"223" 1013.9 25.2 77.1 35.64 5.282 28.1946
"224" 1005.7 28.4 77.8 19.8 6.402 28.8555
"225" 1012.1 25.7 76.7 41.04 6.018 27.7091
"226" 1002.6 26.9 83.9 10.08 5.578 29.3944
"227" 1009.5 26.7 75.7 48.24 6.852 28.7691
"228" 1010.9 24.6 79.4 27.36 4.636 28.629
"229" 1010.5 26 81.3 48.96 5.88 27.7952
"230" 1007.6 25.4 83.1 33.12 6.139 29.3472
"231" 1008.5 27.8 80.7 5.76 6.381 29.3261
"232" 1013.5 27.5 74.6 32.04 6.001 29.3392
"233" 1010.3 26.5 71.3 43.2 6.785 28.8666
"234" 1013.1 24.4 69.1 36.36 5.94 28.2574
"235" 1011.1 26.5 82.3 38.52 6.958 29.134
"236" 1009.3 26.1 83.1 42.48 5.935 29.0981
"237" 1007.5 27.3 77.1 34.56 5.46 29.1355
"238" 1010.8 26.5 80.2 47.88 5.629 28.9378
"239" 1010.8 28.6 79.4 25.56 6.574 28.8359
"240" 1011.3 26.8 82.9 21.96 6.15 28.9981
"241" 1013.1 27.2 72.2 38.88 6.625 29.3886
"242" 1004.6 28.6 78.9 28.08 7.496 28.7564
"243" 1010.3 25.8 83.6 44.28 5.892 27.7743
"244" 1004.9 29 76.9 22.32 6.686 28.9668
"245" 1010.2 26.7 78.8 31.68 5.439 29.1546
"246" 1008.2 28.3 76 42.12 5.709 29.491
"247" 1004.5 26 81.6 25.2 5.702 29.3957
"248" 1012.2 24.8 78.5 28.08 4.849 28.6246
"249" 1012.1 26.8 80 26.28 5.494 29.236
"250" 1010.8 28.6 74.9 32.76 5.35 29.0126
"251" 1006.5 27.7 80.4 22.32 6.341 28.8865
"252" 1010 27.1 65.4 39.96 6.553 29.5131
"253" 1012 25.3 80.9 48.24 6.545 28.3838
"254" 1003.8 27.8 82.9 39.24 6.164 29.3978
"255" 1005.1 28.4 76.2 31.32 6.546 29.0412
"256" 1006.8 28.6 78.3 28.8 5.15 29.3539
"257" 1004.5 27.5 76.2 49.32 5.596 29.4707
"258" 1011.1 24.4 80 24.12 5.823 28.3582
"259" 1013.6 24.2 83.3 34.2 6.279 28.1259
"260" 1011.2 24.8 80.8 33.48 6.224 27.5187
"261" 1012.6 25.2 72.9 38.16 7.437 28.2587
"262" 1013.5 25.3 79 34.92 6.718 27.6362
"263" 1007.1 27.5 69.8 42.84 5.546 28.9833
"264" 1003.2 28.2 80.2 32.76 5.651 29.3649
"265" 1007.6 27.4 70.3 39.24 6.123 29.0064
"266" 1011 26.4 82.7 31.32 6.143 28.8369
"267" 1014 24.5 84.8 30.24 5.9 28.3062
"268" 1010 25 83.7 39.96 5.035 27.9878
"269" 1011 27.9 83.8 22.68 7.72 28.8666
"270" 1007.1 27.5 70.8 47.16 5.583 28.9811
"271" 1012 25.1 79.8 40.32 6.162 27.6015
"272" 1004.5 28.6 78.2 18 5.787 28.8628
"273" 1011.7 27.2 82.8 36.72 7.027 29.1564
"274" 1009 27.6 83.7 26.64 6.294 29.3894
"275" 1010.8 25 75.9 36.36 6.692 28.3035
"276" 1009.7 26 85.2 44.28 6.341 29.1418
"277" 1009.3 27.7 79.4 27 6.83 29.024
"278" 1014.4 25.6 74.5 39.6 5.489 27.8737
"279" 1009.3 26.4 78.6 39.96 6.752 29.0449
"280" 1012.3 26.6 82.4 30.96 6.531 28.9804
"281" 1009.1 26.1 79.2 37.8 5.49 29.216
"282" 1003.7 26.4 80.3 29.16 6.032 29.1618
"283" 1011.7 27.5 68.2 38.88 6.328 29.0044
"284" 1012.9 25.5 82.2 35.64 5.996 27.9674
"285" 1011.5 26.7 82.5 46.8 6.57 28.6577
"286" 1009.6 27.3 82 51.84 6.132 28.8348
"287" 1009.1 27.8 70.1 47.16 6.076 29.599
"288" 1013.7 25.4 75 35.28 5.718 27.8056
"289" 1011.9 27.9 65.9 26.28 6.344 29.0337
"290" 1004 28.2 78 33.12 6.544 29.2527
"291" 1013.9 24.7 86.5 39.6 5.734 27.9235
"292" 1010.6 28.5 74 23.4 7.459 28.5993
"293" 1008.6 28.7 70.9 31.68 5.336 29.0079
"294" 1006.5 28.8 71.3 17.64 6.82 28.9996
"295" 1012.6 25.5 76 44.64 5.697 28.5178
"296" 1011.9 27.3 79.4 39.96 6.769 28.9367
"297" 1011.6 25.2 79.7 32.76 6.597 28.5454
"298" 1013.3 24.8 82.6 39.6 6.373 27.607
"299" 1012.8 25.2 76 48.96 5.732 28.5137
"300" 1010.2 27 80.2 34.2 5.479 29.1626
"301" 1002.9 28.8 77.3 8.64 7.169 28.6299
"302" 1011 27.2 79.5 44.28 7.326 29.1585
"303" 1013 23.9 81.4 38.16 5.373 28.0264
"304" 1008.1 25.5 80.6 10.08 5.427 28.708
"305" 1011.1 26.3 79.6 34.92 5.687 28.9846
"306" 1010.8 27.1 76.7 39.24 5.269 29.2361
"307" 1011.1 26.9 77.7 36.36 5.769 29.1812
"308" 1014 24.1 83.6 45.36 5.483 27.9451
"309" 1008.4 27.2 73.8 43.92 5.686 29.1356
"310" 1012.8 27.3 68.6 38.88 6.058 29.5054
"311" 1009.2 29 79.6 39.6 6.399 29.3683
"312" 1013.1 25.4 77 48.24 6.5 27.6458
"313" 1012 27.5 81 33.12 5.411 29.0133
"314" 1008.5 29 72.3 29.16 5.281 28.9312
"315" 1010.4 27.6 78.3 34.92 5.751 29.0157
"316" 1008.9 27.3 81 47.52 5.625 29.0524
"317" 1012.7 25.5 69.7 46.08 6.323 27.644
"318" 1009.5 27 73 42.48 5.49 28.979
"319" 1009.3 26.4 79.1 41.4 6.195 28.7474
"320" 1013.4 25.2 72.1 30.24 5.527 28.3936
"321" 1010.9 26.7 75.8 42.48 5.364 29.1996
"322" 1014.2 25 70 36.72 6.677 28.3286
"323" 1004.7 26.2 85.3 36.72 5.881 29.5691
"324" 1014.1 25.2 74.2 35.28 5.782 27.8233
"325" 1005 28.4 79 45.72 6.131 29.1644
"326" 1005.8 27.6 81.6 13.32 6.235 29.3381
"327" 1012.6 25.8 72.2 37.44 6.242 28.3392
"328" 1002.3 27.9 76.5 20.16 5.379 29.4648
"329" 1009.7 27 75 39.96 6.181 28.9268
"330" 1010.8 25.6 79.6 46.08 6.229 27.5982
"331" 1012.8 23.8 91 24.12 5.278 28.1518
"332" 1008.8 26 77.8 36.72 6.484 29.2895
"333" 1008.1 26.6 79.8 25.2 5.619 29.1356
"334" 1002 26.5 87.9 40.68 5.928 29.3676
"335" 1006.8 28 79.7 13.68 5.184 29.0224
"336" 1011.2 25.1 78.3 42.48 6.402 27.3765
"337" 1009.1 25.9 87.7 46.44 7.06 28.9265
"338" 1011.4 26.8 82.9 45 6.172 28.9338
"339" 1011.8 25.6 68.5 43.2 4.773 28.7566
"340" 1014.6 25.1 78.8 28.44 7.026 28.1946
"341" 1009.7 27.6 80.9 16.2 5.689 29.189
"342" 1008 28.6 74.4 43.56 5.63 29.478
"343" 1009.1 26.6 80.7 47.52 6.096 28.7711
"344" 1010.8 26.8 78.4 46.08 6.912 28.7347
"345" 1012.6 25.7 82.1 41.04 5.937 27.8978
"346" 1011.4 26.5 77.1 38.52 7.124 29.1031
"347" 1010.7 25.6 74.9 38.16 6.348 27.5771
"348" 1005.7 28.4 80.2 42.12 5.609 29.4657
"349" 1010.7 25.3 73.8 36.72 7.271 28.4485
"350" 1010.6 25.4 81.5 38.16 6.117 27.582
"351" 1011 27 79.2 38.88 6.326 29.2676
"352" 1011.6 25.1 80.4 30.6 6.452 28.6155
"353" 1009.5 27.4 75.1 39.6 6.112 29.3625
"354" 1009.9 24.3 85.8 25.92 5.34 28.8398
"355" 1012.8 26.6 73.7 33.84 5.912 29.2195
"356" 1010.2 27 75 44.64 6.945 29.3466
"357" 1008.7 27.4 70.9 48.96 5.587 28.9893
"358" 1012.7 25.3 81.7 37.8 5.934 28.0775
"359" 1011.1 26.9 69.4 29.16 6.644 29.4944
"360" 1010.3 28.2 79.9 24.12 7.386 29.2395
"361" 1007.8 28 78 42.12 6.45 29.5443
"362" 1014.7 25.7 78.1 33.84 5.281 28.0998
"363" 1005.7 28.4 82.2 13.68 5.494 28.8385
"364" 1013 27.2 69.8 44.64 6.822 29.2923
"365" 1012.2 24 71.7 31.68 4.824 28.5544
"366" 1007.4 25.2 86.9 19.44 5.354 28.7597
"367" 1013.9 25 70.5 33.48 5.958 28.3836
"368" 1009.5 26.6 74.4 44.64 5.706 29.0269
"369" 1002.4 28.9 78.4 45 6.265 29.1812
"370" 1009 26.2 80.1 34.56 5.919 29.0133
"371" 1011.1 27 72.4 39.6 6.188 29.3806
"372" 1006.8 27.7 81.5 21.6 6.732 29.4213
"373" 1012.7 25 79 37.44 5.431 27.7229
"374" 1007.6 28 73.4 43.2 5.798 29.3694
"375" 1006.1 27.6 76.1 9.72 5.445 28.7854
"376" 1011.5 26.7 82.1 41.76 6.5 28.6522
"377" 1002.9 26.9 75.9 23.4 5.957 29.5107
"378" 1010.9 26.5 78.9 45 6.218 29.2639
"379" 1010.6 24.5 77.3 33.12 5.346 28.2903
"380" 1011 25.8 77.7 41.4 6.473 28.7459
"381" 1009.2 27.9 78.1 34.56 5.823 29.5706
"382" 1012 26.6 83.1 29.88 6.49 28.9434
"383" 1013.7 24.6 81 25.2 7.021 28.0309
"384" 1009 26.5 71.9 38.52 7.067 28.4083
"385" 1006.8 27.6 80.7 19.44 6.207 29.4565
"386" 1006.1 27.5 80.9 6.12 5.285 29.0165
"387" 1011.3 24.4 79.3 27 5.941 28.3489
"388" 1013.9 25.5 78.5 31.32 6.237 27.8812
"389" 1005.5 27 80.5 9.72 6.583 28.8803
"390" 1013.1 25.3 74.7 35.64 7.201 27.8969
"391" 1007.9 27.5 76.6 6.12 6.154 28.6452
"392" 1010.3 28.2 72.5 39.96 5.459 29.2131
"393" 1014.2 25.1 71 33.12 6.39 28.3562
"394" 1007.6 28 80.3 10.8 6.919 28.6706
"395" 1009.9 25.7 75.1 34.56 6.07 28.5757
"396" 1011.4 27 68 33.12 6.722 29.4634
"397" 1003.3 27.4 84.2 42.84 5.967 29.2422
"398" 1013.1 25.4 72.7 33.12 5.257 28.1088
"399" 1009.1 25.5 86.1 46.8 6.853 28.9665
"400" 1011.7 25.1 86.5 37.8 6.187 27.5555
"401" 1002.1 27.2 84.4 58.68 5.913 29.3665
"402" 1010 28.1 77.6 28.8 6.708 29.1026
"403" 1013.9 24.8 65.9 35.64 6.936 28.2465
"404" 1013 27.3 69.6 38.88 6.066 29.5027
"405" 1011.7 25.4 77.2 38.16 6.76 27.9383
"406" 1006 28.9 70.4 21.6 7.064 29.0107
"407" 1008.5 27.6 78.3 34.2 5.81 29.1053
"408" 1007.2 27 84.2 36.36 6.155 29.7282
"409" 1005.7 28.4 78 29.88 6.035 29.364
"410" 1002.9 26.5 79.7 30.24 5.619 29.4716
"411" 1012.3 25.2 79.7 42.12 6.279 27.6196
"412" 1008.7 26.9 76.1 29.16 5.91 29.1594
"413" 1007.9 26.6 76.2 46.44 6.599 28.652
"414" 1009.7 25.3 71.5 36 7.21 28.1225
"415" 1009.7 27.7 77.2 19.08 5.447 29.6866
"416" 1012.3 27.6 76.7 33.84 5.05 29.2496
"417" 1006.4 27.2 80.1 9.36 6.604 28.8539
"418" 1003.2 27 78.6 30.24 7.197 29.4863
"419" 1010.8 25.9 79.5 36.72 5.497 28.8593
"420" 1013.6 27.1 73.8 44.28 6.567 29.0626
"421" 1013.2 27.5 76.4 35.28 4.967 29.3858
"422" 1010.3 27.4 78.4 24.84 5.478 29.7143
"423" 1009 25.7 74 39.24 6.442 27.9606
"424" 1009.6 27.3 73.4 33.48 6.451 29.0783
"425" 1007.4 27.4 77.5 35.28 5.352 29.2367
"426" 1010.3 26.5 81.1 45.36 6.188 28.9419
"427" 1012.8 25 81.9 34.56 6.417 27.2002
"428" 1010.1 26.1 81.1 45.36 5.893 27.6594
"429" 1007.3 27.8 76.3 21.96 6.399 28.5252
"430" 1010.2 26 81.6 44.64 5.922 27.6544
"431" 1009.8 28 77.6 47.16 5.487 29.5432
"432" 1014.6 24.8 67.2 36.72 6.836 28.2288
"433" 1002.1 27.7 77.6 17.28 5.408 29.4557
"434" 1011 26.5 77.9 43.2 6.609 28.5299
"435" 1011.6 27.4 79.5 40.32 6.723 28.9235
"436" 1008.7 28.1 74.1 38.88 5.494 29.3871
"437" 1008.4 28.4 76.4 24.12 6.028 28.8274
"438" 1009.5 26 87.9 44.64 7.007 28.9085
"439" 1011 27.5 75.3 43.92 6.2 29.2681
"440" 1003.2 28.3 78 31.68 6.866 29.4244
"441" 1002.9 28.4 77 28.44 7.291 28.7495
"442" 1010.2 28.2 78.7 28.8 7.359 29.2168
"443" 1008.7 28.2 79.6 30.6 6.436 28.8375
"444" 1012.1 25 78.9 38.52 5.308 27.8752
"445" 1010.8 25.3 82.5 41.04 5.207 27.9133
"446" 1013.8 24.9 80.3 31.68 6.078 28.1496
"447" 1008.7 26.2 80.6 48.96 6.474 28.8218
"448" 1009.6 27.7 75.2 32.4 6.518 29.2477
"449" 1013.5 24.3 83.8 31.32 5.619 28.3176
"450" 1011.4 27.3 73 44.28 5.009 29.8642
"451" 1014.9 26.4 78.1 40.32 7.183 29.1476
"452" 1008.9 27.3 78.6 37.8 6.955 28.6825
"453" 1006.1 28.7 76.8 12.24 5.846 28.7217
"454" 1004.5 28.6 77.5 24.84 5.848 28.9143
"455" 1014 24.9 76.2 37.8 6.513 27.6006
"456" 1009.2 27 76.2 44.28 5.788 29.4861
"457" 1007.6 26.4 84.9 20.16 5.432 29.7639
"458" 1013.1 27.2 70.4 38.52 4.955 29.7921
"459" 1009.1 27.6 76.1 43.56 6.324 28.846
"460" 1012.1 25.7 77.6 34.56 6.592 27.6686
"461" 1008.6 25.9 79.5 44.28 6.443 27.4076
"462" 1010 28.7 78.5 33.12 6.47 29.3627
"463" 1011.4 25.9 80.4 41.76 5.857 28.8532
"464" 1008.8 28.5 78.6 33.12 6.753 29.4579
"465" 1006.7 26.9 81.1 45.72 5.649 28.9513
"466" 1006.5 28.5 80.6 4.32 6.657 28.7267
"467" 1013.7 24.9 80.9 37.08 6.552 27.6386
"468" 1008.4 27.7 69.3 37.44 5.883 29.5096
"469" 1011.3 27.4 78.8 41.04 5.025 29.1771
"470" 1010.2 27.4 79.2 39.96 6.42 28.9707
"471" 1010.1 28 71.3 38.52 6.198 28.9851
"472" 1005.4 27.2 81.6 26.64 6.891 29.5775
"473" 1012.1 25.7 73.8 40.68 6.816 28.0371
